outcome,term,estimate,std_error_clustered,p_value,ci_95_low,ci_95_high,q_value_bh,reject_fdr_05
fit_score,Intercept,7.349999999999999,3.4067842977038753e-15,0.0,7.349999999999992,7.350000000000006,,False
fit_score,C(template_id)[T.frontline_02],2.6645352591003757e-15,3.12880136296464e-15,0.3944276186830862,-3.467802727090152e-15,8.796873245290903e-15,0.5019987874148369,False
fit_score,C(template_id)[T.knowledge_01],-0.10000000000000797,5.203191636782267e-15,0.0,-0.10000000000001817,-0.09999999999999777,0.0,True
fit_score,C(template_id)[T.knowledge_02],-0.10000000000000914,5.315970455729153e-15,0.0,-0.10000000000001956,-0.09999999999999871,0.0,True
fit_score,C(temperature)[T.0.4],-3.4833247397614286e-15,3.162978600872584e-16,3.315408949760589e-28,-4.103257153919544e-15,-2.863392325603313e-15,5.801965662081031e-28,True
fit_score,signal_a,-0.20000000000000434,4.767912251819999e-15,0.0,-0.2000000000000137,-0.199999999999995,0.0,True
fit_score,signal_c,-0.34999999999999865,3.715776855976616e-15,0.0,-0.3500000000000059,-0.3499999999999914,0.0,True
fit_score,signal_d,-3.58046925441613e-15,4.595619366975863e-15,0.43591796403916416,-1.2587717700343583e-14,5.426779191511323e-15,0.5085709580456915,False
fit_score,signal_a_frontline,-2.1649348980190553e-15,7.006635625394008e-15,0.7573340674303786,-1.589768837658659e-14,1.1567818580548479e-14,0.7573340674303786,False
fit_score,signal_c_frontline,-0.1999999999999989,5.256383766395841e-15,0.0,-0.2000000000000092,-0.1999999999999886,0.0,True
fit_score,signal_d_frontline,3.9968028886505635e-15,6.0099885156669684e-15,0.5060334094794583,-7.782558149556033e-15,1.577616392685716e-14,0.5449590563624935,False
fit_score,nontraditional,-0.15000000000000055,3.2514484091698224e-15,0.0,-0.15000000000000693,-0.14999999999999417,0.0,True
fit_score,nontraditional:frontline,-5.551115123125783e-15,4.512351352275479e-15,0.21862051993236076,-1.4395161259176332e-14,3.2929310129247668e-15,0.30606872790530504,False
fit_score,has_gap,-0.44999999999999873,3.2514484091698133e-15,0.0,-0.4500000000000051,-0.44999999999999235,0.0,True
fit_score,has_gap:frontline,-1.0935696792557792e-14,4.5123513522754825e-15,0.01537162861398618,-1.9779742928608348e-14,-2.091650656507236e-15,0.023911422288422943,True
recommend,Intercept,1.1625000000000005,0.05883757503687922,6.876003850115809e-87,1.0471804719900444,1.2778195280099567,,False
recommend,C(template_id)[T.frontline_02],-1.734723475976807e-17,0.0539518188879748,0.9999999999999998,-0.10574362192085845,0.10574362192085843,0.9999999999999998,False
recommend,C(template_id)[T.knowledge_01],0.04999999999999899,0.0872374371279322,0.566544199249966,-0.12098223487432544,0.22098223487432342,0.8812909766110606,False
recommend,C(template_id)[T.knowledge_02],0.04999999999999865,0.08723743712793196,0.5665441992499676,-0.1209822348743253,0.22098223487432261,0.8812909766110606,False
recommend,C(temperature)[T.0.4],-5.048045315092509e-16,0.006309183388253127,0.9999999999999362,-0.012365772212835023,0.012365772212834013,0.9999999999999998,False
recommend,signal_a,-0.200000000000001,0.06221827357246284,0.001306765997226185,-0.3219455753822884,-0.0780544246177136,0.006098241320388864,True
recommend,signal_c,-0.4249999999999995,0.08208002685339297,2.2442925783634245e-07,-0.5858738964827301,-0.2641261035172688,1.5710048048543972e-06,True
recommend,signal_d,-3.920475055707584e-16,0.059269396918631805,0.9999999999999947,-0.11616588334592798,0.1161658833459272,0.9999999999999998,False
recommend,signal_a_frontline,0.12499999999999942,0.07791266740112289,0.10863462953041812,-0.02770602204564937,0.2777060220456482,0.30417696268517075,False
recommend,signal_c_frontline,-0.07499999999999937,0.12720477851997877,0.5554585217791062,-0.324316784560552,0.1743167845605533,0.8812909766110606,False
recommend,signal_d_frontline,8.049116928532385e-16,0.07867528917416078,0.9999999999999918,-0.15420073325462832,0.15420073325462993,0.9999999999999998,False
recommend,nontraditional,-0.11250000000000057,0.05149816592508798,0.028922311145435017,-0.21343455048304083,-0.0115654495169603,0.10122808900902257,False
recommend,nontraditional:frontline,0.07499999999999943,0.07458458188505673,0.31462257725259224,-0.07118309429669031,0.22118309429668917,0.7341193469227153,False
recommend,has_gap,-0.3124999999999998,0.05149816592508788,1.293700659784551e-09,-0.41343455048303984,-0.2115654495169597,1.8111809236983714e-08,True
recommend,has_gap:frontline,0.024999999999998662,0.07458458188505672,0.7374818257006093,-0.12118309429669105,0.17118309429668838,0.9999999999999998,False
